n,k,digits,a_base,N
8,195,5,2843,49921
8,141,5,9727,36097
8,1,3,91,257
8,55,5,6801,14081
8,193,5,42586,49409
8,163,5,11987,41729
8,225,5,28843,57601
8,147,5,36799,37633
8,225,5,32339,57601
8,163,5,7927,41729
8,1,3,45,257
8,55,5,9574,14081
8,141,5,8014,36097
8,193,5,36341,49409
8,1,3,252,257
8,1,3,101,257
8,55,5,3724,14081
8,147,5,4670,37633
8,55,5,9293,14081
8,121,5,25107,30977
8,141,5,4190,36097
8,163,5,5788,41729
8,171,5,37491,43777
8,225,5,38259,57601
8,3,3,7,769
8,13,4,838,3329
8,3,3,117,769
8,141,5,23666,36097
8,123,5,30214,31489
8,195,5,46471,49921
8,225,5,2453,57601
8,195,5,2055,49921
8,171,5,41271,43777
8,195,5,16197,49921
8,123,5,16973,31489
8,157,5,27329,40193
8,57,5,2608,14593
8,87,5,12970,22273
8,157,5,16888,40193
8,225,5,51927,57601
8,193,5,13411,49409
8,225,5,46578,57601
8,123,5,22413,31489
8,91,5,23024,23297
8,123,5,20772,31489
8,123,5,18063,31489
8,1,3,151,257
8,225,5,13953,57601
8,31,4,4739,7937
8,31,4,6,7937
8,171,5,28011,43777
8,31,4,2891,7937
8,225,5,56784,57601
8,193,5,7452,49409
8,147,5,13268,37633
8,87,5,8736,22273
8,147,5,19751,37633
8,3,3,29,769
8,193,5,13852,49409
8,55,5,5558,14081
8,235,5,32315,60161
8,141,5,5236,36097
8,163,5,35413,41729
8,57,5,186,14593
8,123,5,28677,31489
8,163,5,23909,41729
9,261,6,15395,133633
9,165,5,36681,84481
9,35,5,9682,17921
9,15,4,6109,7681
9,231,6,80865,118273
9,189,5,64749,96769
9,89,5,42131,45569
9,51,5,12885,26113
9,303,6,19165,155137
9,423,6,130844,216577
9,509,6,72286,260609
9,333,6,110434,170497
9,149,5,58386,76289
9,71,5,17747,36353
9,491,6,203550,251393
9,303,6,1774,155137
9,165,5,30518,84481
9,189,5,12148,96769
9,35,5,4811,17921
9,21,5,8075,10753
9,23,5,6485,11777
9,281,6,48646,143873
9,299,6,136895,153089
9,63,5,28948,32257
9,345,6,7908,176641
9,315,6,55994,161281
9,281,6,23154,143873
9,89,5,21509,45569
9,359,6,59855,183809
9,45,5,8513,23041
9,101,5,11170,51713
9,359,6,75409,183809
9,15,4,541,7681
9,281,6,5240,143873
9,281,6,91346,143873
9,51,5,18968,26113
9,315,6,123013,161281
9,189,5,6617,96769
9,159,5,15105,81409
9,89,5,14337,45569
9,21,5,9452,10753
9,23,5,7637,11777
9,23,5,1279,11777
9,189,5,95321,96769
9,233,6,99346,119297
9,231,6,66191,118273
9,89,5,7250,45569
9,431,6,20486,220673
9,35,5,3564,17921
9,465,6,2989,238081
9,311,6,38763,159233
9,189,5,94654,96769
9,35,5,808,17921
9,225,6,33852,115201
9,171,5,35775,87553
9,329,6,100868,168449
9,345,6,23685,176641
9,71,5,4364,36353
9,303,6,58590,155137
9,63,5,17651,32257
9,201,6,60220,102913
9,221,6,57549,113153
9,101,5,34614,51713
9,329,6,22013,168449
9,221,6,15848,113153
9,71,5,9123,36353
9,333,6,28238,170497
9,219,6,15492,112129
9,201,6,66659,102913
9,15,4,4815,7681
9,45,5,5772,23041
9,71,5,20428,36353
9,333,6,64392,170497
9,303,6,10058,155137
9,429,6,206757,219649
9,309,6,25814,158209
9,359,6,181607,183809
9,149,5,49157,76289
9,201,6,40845,102913
9,359,6,57756,183809
9,423,6,164468,216577
10,303,6,103323,310273
10,907,6,256682,928769
10,909,6,860334,930817
10,75,5,4526,76801
10,627,6,92565,642049
10,687,6,137794,703489
10,19,5,9171,19457
10,319,6,25056,326657
10,99,6,75231,101377
10,273,6,118988,279553
10,357,6,97066,365569
10,795,6,487706,814081
10,183,6,128863,187393
10,279,6,31609,285697
10,765,6,612155,783361
10,349,6,328038,357377
10,957,6,923229,979969
10,777,6,730760,795649
10,579,6,295995,592897
10,559,6,181782,572417
10,859,6,146797,879617
10,135,6,46025,138241
10,135,6,114172,138241
10,25,5,2942,25601
10,313,6,13844,320513
10,643,6,36845,658433
10,357,6,103977,365569
10,603,6,286993,617473
10,453,6,84846,463873
10,357,6,311071,365569
10,643,6,126065,658433
10,553,6,175249,566273
10,85,5,79377,87041
10,883,6,672472,904193
10,337,6,215361,345089
10,859,6,779236,879617
10,603,6,420449,617473
10,279,6,78660,285697
10,415,6,333826,424961
10,777,6,300502,795649
10,289,6,178406,295937
10,133,6,54003,136193
10,319,6,197561,326657
10,69,5,29764,70657
10,85,5,20448,87041
10,669,6,483121,685057
10,487,6,146517,498689
10,699,6,459023,715777
10,37,5,22586,37889
10,133,6,102512,136193
10,897,6,530998,918529
10,765,6,142809,783361
10,627,6,150600,642049
10,279,6,144912,285697
10,855,6,56329,875521
10,235,6,73942,240641
10,313,6,122161,320513
10,375,6,147033,384001
11,1227,7,112329,2512897
11,641,7,896234,1312769
11,1505,7,775018,3082241
11,899,7,1688218,1841153
11,729,7,376909,1492993
11,1775,7,1811455,3635201
11,1635,7,3052317,3348481
11,1775,7,2917355,3635201
11,1469,7,705777,3008513
11,755,7,832889,1546241
11,407,6,9983,833537
11,1817,7,2383536,3721217
11,1955,7,926963,4003841
11,785,7,175240,1607681
11,1647,7,753797,3373057
11,407,6,611540,833537
11,1757,7,909992,3598337
11,657,7,797075,1345537
11,729,7,21914,1492993
11,65,6,2031,133121
11,1179,7,2311358,2414593
11,395,6,629466,808961
11,1469,7,1273537,3008513
11,1709,7,863722,3500033
11,525,7,643961,1075201
11,1581,7,1655011,3237889
11,669,7,1084629,1370113
11,1385,7,16725,2836481
11,1901,7,1865794,3893249
11,729,7,767042,1492993
11,1737,7,3386698,3557377
11,611,7,647828,1251329
11,1737,7,2603900,3557377
11,521,7,38167,1067009
11,147,6,268038,301057
11,1361,7,2452639,2787329
11,1427,7,2247089,2922497
11,1917,7,2222662,3926017
11,1757,7,2019581,3598337
11,1709,7,2818829,3500033
11,939,7,676988,1923073
11,329,6,609703,673793
11,645,7,483769,1320961
11,227,6,375088,464897
11,329,6,70431,673793
11,1877,7,1652132,3844097
11,407,6,689855,833537
11,1635,7,2656800,3348481
11,987,7,1334646,2021377
11,1227,7,1518101,2512897
11,1469,7,798968,3008513
11,539,7,1065751,1103873
11,591,7,991449,1210369
11,41,5,81531,83969
11,729,7,892954,1492993
11,1667,7,724214,3414017
11,1995,7,2584362,4085761
12,165,6,366167,675841
12,1027,7,4016317,4206593
12,2371,7,2649623,9711617
12,2647,8,3036347,10842113
12,1891,7,5625103,7745537
12,975,7,3573671,3993601
12,3577,8,12179718,14651393
12,963,7,988734,3944449
12,2161,7,3109333,8851457
12,1453,7,668935,5951489
12,3057,8,11540659,12521473
12,2985,8,8472104,12226561
12,1645,7,885472,6737921
12,501,7,2014653,2052097
12,3997,8,1563563,16371713
12,3993,8,6617416,16355329
12,2973,8,438335,12177409
12,417,7,212716,1708033
12,3675,8,591733,15052801
12,3711,8,5198266,15200257
12,633,7,1613406,2592769
12,1465,7,2671330,6000641
12,1755,7,494022,7188481
12,127,6,498337,520193
12,2067,7,861597,8466433
12,3711,8,8664627,15200257
12,1401,7,3506586,5738497
12,2371,7,4170121,9711617
12,2535,8,5540060,10383361
12,3601,8,12802695,14749697
12,2985,8,8712638,12226561
12,121,6,7858,495617
12,141,6,502417,577537
12,2713,8,3917315,11112449
12,1401,7,3337675,5738497
12,561,7,1760970,2297857
12,331,7,868678,1355777
12,1873,7,2174814,7671809
12,3633,8,12248164,14880769
12,3477,8,10334275,14241793
12,163,6,201350,667649
12,901,7,3417934,3690497
12,1605,7,5417393,6574081
12,2685,8,469070,10997761
12,3787,8,5703911,15511553
12,1381,7,3884919,5656577
12,4077,8,13638438,16699393
12,235,6,901059,962561
12,2907,8,9274637,11907073
12,2535,8,6739586,10383361
12,2845,8,266605,11653121
12,4051,8,16011482,16592897
12,3753,8,10220454,15372289
12,235,6,36643,962561
12,3523,8,10095459,14430209
12,1305,7,5100340,5345281
12,3447,8,2344178,14118913
12,1183,7,2762870,4845569
12,3073,8,8212919,12587009
12,2935,8,10860923,12021761
12,847,7,613054,3469313
12,3585,8,2621926,14684161
12,1873,7,5906487,7671809
12,225,6,210962,921601
12,3487,8,5683354,14282753
13,209,7,1259332,1712129
13,2813,8,4953906,23044097
13,5825,8,23270128,47718401
13,8015,8,36608664,65658881
13,1595,8,6108266,13066241
13,933,7,7588402,7643137
13,1625,8,11465485,13312001
13,849,7,2821561,6955009
13,5481,8,11257471,44900353
13,2273,8,13281890,18620417
13,4493,8,20258893,36806657
13,4143,8,19824740,33939457
13,6423,8,16669741,52617217
13,7035,8,13316217,57630721
13,1751,8,4174730,14344193
13,2459,8,10257991,20144129
13,4683,8,12317831,38363137
13,39,6,72508,319489
13,2319,8,3977889,18997249
13,4911,8,27778733,40230913
13,209,7,478065,1712129
13,4821,8,10101566,39493633
13,5165,8,15501587,42311681
13,6885,8,36319403,56401921
13,5643,8,32155254,46227457
13,3305,8,5477027,27074561
13,7139,8,5215992,58482689
13,581,7,2348859,4759553
13,4493,8,26686305,36806657
13,2091,8,10989322,17129473
13,7119,8,54229021,58318849
13,6699,8,16642188,54878209
13,3371,8,5879058,27615233
13,7635,8,27375676,62545921
13,6915,8,11846106,56647681
13,2451,8,971267,20078593
13,2493,8,17723313,20422657
13,2129,8,15965379,17440769
13,3509,8,9785048,28745729
13,7565,8,9404843,61972481
13,5633,8,41990754,46145537
13,1625,8,6465170,13312001
13,3015,8,21638802,24698881
13,4989,8,9346719,40869889
13,1983,8,5681280,16244737
13,7905,8,36606366,64757761
13,6339,8,35122505,51929089
13,2813,8,22827296,23044097
13,1679,8,5407170,13754369
13,1229,8,3453609,10067969
13,6279,8,44243775,51437569
13,6113,8,18837623,50077697
13,599,7,1475321,4907009
13,1953,8,14178497,15998977
13,6515,8,4307811,53370881
13,933,7,3931803,7643137
13,7041,8,19816692,57679873
13,2199,8,14120801,18014209
13,5543,8,18123009,45408257
13,6635,8,39085848,54353921
14,12513,9,194062093,205012993
14,5083,8,56578923,83279873
14,3763,8,58784321,61652993
14,8487,9,66960656,139051009
14,12907,9,93338557,211468289
14,13387,9,21412064,219332609
14,1243,8,9963225,20365313
14,15205,9,151878878,249118721
14,1609,8,3354616,26361857
14,15247,9,174530877,249806849
14,10363,9,79018774,169787393
14,8673,9,115305491,142098433
14,10257,9,157562785,168050689
14,3909,8,55359701,64045057
14,14689,9,150317920,240664577
14,8397,9,113583392,137576449
14,10735,9,159556819,175882241
14,11067,9,136072305,181321729
14,213,7,1937867,3489793
14,5989,8,75569573,98123777
14,405,7,2538674,6635521
14,2025,8,26883819,33177601
14,13405,9,80425248,219627521
14,2277,8,19247622,37306369
14,14839,9,118657191,243122177
14,13789,9,32018714,225918977
14,9,6,54107,147457
14,4795,8,71482150,78561281
14,14793,9,225504016,242368513
14,3663,8,547036,60014593
14,5295,8,30160285,86753281
14,15663,9,213819899,256622593
14,3285,8,22412019,53821441
15,23445,9,333977871,768245761
15,2187,8,69208479,71663617
15,1845,8,23632085,60456961
15,18947,9,298797643,620855297
15,17265,9,179004711,565739521
15,32337,10,884700079,1059618817
15,227,7,3613389,7438337
15,22521,9,53819205,737968129
15,9441,9,76406603,309362689
15,16109,9,163321695,527859713
15,26625,9,158191631,872448001
15,25001,9,427044870,819232769
15,21261,9,153750832,696680449
15,23901,9,768179481,783187969
15,21051,9,423206773,689799169
15,21999,9,160746666,720863233
15,25637,9,367407748,840073217
15,4085,9,99244376,133857281
15,31631,10,125100739,1036484609
15,15761,9,346034105,516456449
15,24161,9,440526016,791707649
15,30569,10,121737606,1001684993
15,18125,9,237363964,593920001
15,11805,9,21504615,386826241
15,24497,9,233215187,802717697
15,5495,9,102877841,180060161
15,7617,9,58238277,249593857
15,24599,9,447195872,806060033
15,25401,9,296634051,832339969
15,2325,8,3276918,76185601
15,11637,9,323287014,381321217
15,2039,8,52895484,66813953
15,27167,9,847185821,890208257
15,28851,9,598984117,945389569
15,27377,9,394910398,897089537
15,24759,9,512586616,811302913
15,12869,9,349252723,421691393
15,24147,9,300821005,791248897
15,9779,9,123794732,320438273
15,9101,9,205035181,298221569
15,19121,9,46475071,626556929
15,9105,9,99820861,298352641
15,24621,9,62870810,806780929
15,28817,9,653961188,944275457
15,16535,9,147827302,541818881
15,9317,9,149340549,305299457
15,5681,9,51719916,186155009
16,35995,10,505350915,2358968321
16,17731,10,500575808,1162018817
16,3765,9,11664235,246743041
16,11487,9,502978239,752812033
16,27921,10,1670655041,1829830657
16,60873,10,2489089297,3989372929
16,2431,9,23395439,159318017
16,2407,9,71569439,157745153
16,53281,10,1076557579,3491823617
16,40381,10,1042184572,2646409217
16,36553,10,1741601726,2395537409
16,9387,9,514742243,615186433
16,48225,10,1817006052,3160473601
16,23967,10,456776753,1570701313
16,4797,9,117889323,314376193
16,60657,10,2226101665,3975217153
16,12877,9,38580825,843907073
16,17415,10,613879508,1141309441
16,24231,10,127489304,1588002817
16,57843,10,3120975147,3790798849
16,27411,10,1786041731,1796407297
16,46377,10,550556184,3039363073
16,21925,10,447490980,1436876801
16,21897,10,255363550,1435041793
16,17863,10,226323118,1170669569
16,11233,9,378357367,736165889
16,22705,10,1083651731,1487994881
16,30303,10,254367149,1985937409
16,63705,10,3565894130,4174970881
16,6073,9,144321222,398000129
16,7267,9,57472200,476250113
16,20283,10,647122136,1329266689
16,8581,9,413614573,562364417
16,38763,10,1476122342,2540371969
17,10689,10,642517450,1401028609
17,73779,10,993804138,9670361089
17,93285,11,3303148515,12227051521
17,122375,11,6976304866,16039936001
17,130293,11,8381047622,17077764097
17,94055,11,5782268647,12327976961
17,80549,11,10096292730,10557718529
17,4841,9,58443134,634519553
17,83811,11,4782372599,10985275393
17,24815,10,266732146,3252551681
17,83261,11,1933217381,10913185793
17,66851,10,2983730667,8762294273
17,115473,11,266512627,15135277057
17,59825,10,2410568412,7841382401
17,62355,10,2487941286,8172994561
17,52809,10,2157013104,6921781249
17,28689,10,2649549557,3760324609
17,125901,11,16270248623,16502095873
17,112253,11,7253938326,14713225217
17,53729,10,2371339308,7042367489
17,102549,11,7020666498,13441302529
17,43731,10,960489967,5731909633
17,74151,10,5647947897,9719119873
17,48351,10,4183244068,6337462273
17,94173,11,6000920268,12343443457
17,63791,10,8207225250,8361213953
17,339,8,333611,44433409
17,109733,11,2977218751,14382923777
17,71631,10,8611907308,9388818433
17,109595,11,1286459363,14364835841
17,38553,10,2472111838,5053218817
17,9629,10,862797220,1262092289
17,110265,11,3748059455,14452654081
17,11375,10,1072975150,1490944001
17,81605,11,9256879032,10696130561
17,116055,11,7538365532,15211560961
17,113445,11,14522298148,14869463041
17,76691,11,6796831837,10052042753
17,5835,9,318462142,764805121
18,100879,11,1579487231,26444824577
18,16677,10,2508029747,4371775489
18,142417,11,31290562295,37333762049
18,200739,11,27687150791,52622524417
18,260695,11,54559269414,68339630081
18,96775,11,8188511350,25368985601
18,149623,11,19081087767,39222771713
18,217149,11,18925953113,56924307457
18,158985,11,8217837330,41676963841
18,212943,11,36133823260,55821729793
18,49147,11,6896054433,12883591169
18,34023,10,7579944038,8918925313
18,102355,11,10750128837,26831749121
18,30699,10,3775072478,8047558657
18,57879,11,11270634861,15172632577
18,172837,11,29214387328,45308182529
18,43639,11,5663131336,11439702017
18,166887,11,27087365407,43748425729
18,60603,11,14493397172,15886712833
18,162619,11,32542807940,42629595137
18,33313,10,328067062,8732803073
18,166405,11,28742894766,43622072321
18,178545,11,15781694750,46804500481
18,42177,11,7499675107,11056447489
18,177483,11,30276157584,46526103553
18,137253,11,23792189027,35980050433
19,298919,12,119925226135,156719644673
19,362625,12,138216158068,190119936001
19,313059,12,140378336762,164133076993
19,262187,12,36233437667,137461497857
19,186641,11,57205686523,97853636609
19,209747,12,18760484206,109967835137
19,241749,12,35423754176,126746099713
19,247977,12,115278932807,130011365377
19,264759,12,82969284441,138809966593
19,274425,12,6742965552,143877734401
19,196995,12,79349892307,103282114561
19,312845,12,86080700062,164020879361
19,304179,12,62400888568,159477399553
19,290591,12,142276459494,152353374209
19,245979,12,125654109471,128963837953
19,457365,12,42230152666,239790981121
19,186449,11,69806538953,97752973313
19,136205,11,32445622844,71410647041
19,96977,11,42734680809,50843877377
19,176679,11,85957388446,92630679553
19,346667,12,164308255268,181753348097
19,175839,11,78788395534,92190277633
19,225381,12,113480105214,118164553729
19,415709,12,119285888010,217951240193
19,307491,12,98944895204,161213841409
19,467147,12,102801837961,244919566337
19,453569,12,171975605979,237800783873
19,388185,12,65141253380,203520737281
20,196237,12,28897817279,205769408513
20,557011,12,308280745368,584068366337
20,924585,12,474634212614,969497640961
20,215845,12,4864433058,226329886721
20,479413,12,461532185417,502700965889
20,142591,12,42403885535,149517500417
20,789193,12,180053133708,827528839169
20,236377,12,51418469459,247859249153
20,44121,11,10162258946,46264221697
20,1036587,13,818488672012,1086940250113
20,58657,11,10484397695,61506322433
20,566497,12,378577531389,594015158273
20,436327,12,21503826284,457522020353
20,759711,12,330254843129,796614721537
20,1029081,13,873660007807,1079069638657
20,115927,12,26069055091,121558269953
20,544711,12,393449290161,571170881537
20,832815,12,750431699099,873269821441
20,826155,12,247813297440,866286305281
20,765381,12,797949243426,802560147457
20,1031605,13,756434510254,1081716244481
20,95497,12,40786857758,100135862273
20,385371,12,238882527211,404090781697
20,905275,12,573876949874,949249638401
20,736323,12,662952986699,772090626049
20,643551,12,54798959729,674812133377
21,1118849,13,1069442160357,2346396418049
21,344513,12,604479616835,722496126977
21,1288163,13,2408094852128,2701473611777
21,769563,13,1143486905111,1613890584577
21,838395,13,835279198234,1758241751041
21,1766895,13,208247469934,3705447383041
21,715011,13,925640740900,1499486748673
21,1127463,13,1959968782596,2364461285377
21,306885,12,277196472124,643584491521
21,1207193,13,1719669549870,2531667214337
21,1931093,13,3457844138651,4049795547137
21,643685,13,990625941069,1349905285121
21,1479525,13,587299470088,3102788812801
21,1201961,13,586169153296,2520694915073
21,441275,12,576419490599,925420748801
21,117575,12,232711712320,246572646401
21,1637825,13,477338331251,3434767974401
21,1378379,13,62848717523,2890670276609
21,1803921,13,2540341556461,3783096532993
21,1352691,13,805362799510,2836798636033
21,969161,13,487143159081,2032477929473
21,1782999,13,2628592159189,3739219918849
21,830963,13,47247390999,1742655717377
21,784401,13,837838230242,1645008125953
21,696665,13,614833935451,1461012398081
21,1587749,13,1157447909606,3329750990849
21,671279,13,1228952309395,1407774097409
21,728723,13,1396724605113,1528242896897
21,1918763,13,1823413270862,4023937662977
21,541313,13,1120883655493,1135215640577
22,331879,13,243538633725,1392001417217
22,1188429,13,3404662912667,4984632508417
22,2336755,13,8222119051404,9801060843521
22,917205,13,3803873201878,3847036600321
22,3359049,14,7969559623675,14088872656897
22,1184329,13,1620036600956,4967435862017
22,3657037,14,990778400445,15338724917249
22,575845,13,1734955858211,2415268986881
22,876357,13,880415911687,3675707670529
22,2664795,14,10733341142161,11176960327681
22,724563,13,1264836079646,3039037489153
22,3279387,14,8165054732476,13754746011649
22,4098043,14,11160214598647,17188438147073
22,4003119,14,11093350028244,16790298034177
22,671643,13,1598227464335,2817074921473
22,2743567,14,6359303209873,11507354042369
22,725353,13,1298714372314,3042350989313
22,2097579,13,826767255240,8797883990017
22,3543573,14,4244208903546,14862822408193
22,4039275,14,1729468166595,16941947289601
22,2122045,13,8645620243069,8900501831681
22,2018377,13,2748644272442,8465686724609
22,124905,12,101458095806,523889541121
22,3529707,14,10237876919836,14804664188929
22,3556387,14,5356453604520,14916568219649
22,1178533,13,4275225678977,4943125676033
